B,N,1,1
B,P,0,1
B,N,1,2
B,P,1,1
C,N,25,60
C,R,25,59
B,N,1,3
B,P,1,2
B,N,1,4
B,P,1,3
C,N,25,61
C,R,25,60
B,N,1,5
B,P,1,4
B,N,2,5
B,P,1,5
C,N,26,61
C,R,25,61
B,N,3,5
B,P,2,5
B,N,3,4
B,P,3,5
C,N,25,61
C,R,26,61
B,N,3,3
B,P,3,4
B,N,3,2
B,P,3,3
C,N,24,61
C,R,25,61
B,N,3,1
B,P,3,2
B,N,4,1
B,P,3,1
C,N,23,61
C,R,24,61
B,N,5,1
B,P,4,1
B,N,6,1
B,P,5,1
C,N,24,61
C,R,23,61
B,N,7,1
B,P,6,1
B,N,8,1
B,P,7,1
C,N,23,61
C,R,24,61
B,N,9,1
B,P,8,1
B,N,9,2
B,P,9,1
C,N,24,61
C,R,23,61
B,N,9,3
B,P,9,2
B,N,8,3
B,P,9,3
C,N,25,61
C,R,24,61
B,N,7,3
B,P,8,3
B,N,6,3
B,P,7,3
C,N,25,60
C,R,25,61
B,N,5,3
B,P,6,3
B,N,5,4
B,P,5,3
C,N,25,61
C,R,25,60
B,N,5,5
B,P,5,4
B,N,6,5
B,P,5,5
C,N,25,60
C,R,25,61
B,N,7,5
B,P,6,5
B,N,7,6
B,P,7,5
C,N,25,61
C,R,25,60
B,N,7,7
B,P,7,6
B,N,8,7
B,P,7,7
C,N,24,61
C,R,25,61
B,N,9,7
B,P,8,7
B,N,9,6
B,P,9,7
C,N,23,61
C,R,24,61
B,N,9,5
B,P,9,6
B,N,10,5
B,P,9,5
C,N,24,61
C,R,23,61
B,N,11,5
B,P,10,5
B,N,11,6
B,P,11,5
C,N,25,61
C,R,24,61
B,N,11,7
B,P,11,6
B,N,12,7
B,P,11,7
C,N,26,61
C,R,25,61
B,N,13,7
B,P,12,7
B,N,13,6
B,P,13,7
C,N,25,61
C,R,26,61
B,N,13,5
B,P,13,6
B,N,14,5
B,P,13,5
C,N,25,60
C,R,25,61
B,N,15,5
B,P,14,5
B,N,15,6
B,P,15,5
C,N,25,59
C,R,25,60
B,N,15,7
B,P,15,6
B,N,15,8
B,P,15,7
C,N,25,60
C,R,25,59
B,N,15,9
B,P,15,8
B,N,16,9
B,P,15,9
C,N,25,59
C,R,25,60
B,N,17,9
B,P,16,9
B,N,17,8
B,P,17,9
C,N,26,59
C,R,25,59
B,N,17,7
B,P,17,8
B,R,17,7
B,R,17,8
B,R,17,9
B,R,16,9
B,R,15,9
B,R,15,8
B,R,15,7
B,R,15,6
B,R,15,5
B,R,14,5
B,N,13,4
C,N,25,59
C,R,26,59
B,N,13,3
B,P,13,4
B,N,14,3
B,P,13,3
C,N,26,59
C,R,25,59
B,N,15,3
B,P,14,3
B,N,16,3
B,P,15,3
C,N,25,59
C,R,26,59
B,N,17,3
B,P,16,3
B,N,17,4
B,P,17,3
C,N,25,60
C,R,25,59
B,N,17,5
B,P,17,4
B,N,18,5
B,P,17,5
C,N,25,61
C,R,25,60
B,N,19,5
B,P,18,5
B,N,19,6
B,P,19,5
C,N,24,61
C,R,25,61
B,N,19,7
B,P,19,6
B,N,19,8
B,P,19,7
C,N,23,61
C,R,24,61
B,N,19,9
B,P,19,8
B,N,20,9
B,P,19,9
C,N,24,61
C,R,23,61
B,N,21,9
B,P,20,9
B,N,21,10
B,P,21,9
C,N,25,61
C,R,24,61
B,N,21,11
B,P,21,10
B,N,22,11
B,P,21,11
C,N,24,61
C,R,25,61
B,N,23,11
B,P,22,11
B,N,23,10
B,P,23,11
C,N,23,61
C,R,24,61
B,N,23,9
B,P,23,10
B,N,24,9
B,P,23,9
C,N,24,61
C,R,23,61
B,N,25,9
B,P,24,9
B,N,25,8
B,P,25,9
C,N,23,61
C,R,24,61
B,N,25,7
B,P,25,8
B,N,24,7
B,P,25,7
C,N,24,61
C,R,23,61
B,N,23,7
B,P,24,7
B,N,22,7
B,P,23,7
C,N,23,61
C,R,24,61
B,N,21,7
B,P,22,7
B,R,21,7
B,R,22,7
B,R,23,7
B,R,24,7
B,N,26,7
C,N,24,61
C,R,23,61
B,R,26,7
B,R,25,7
B,R,25,8
B,R,25,9
B,R,24,9
B,R,23,9
B,R,23,10
B,R,23,11
B,R,22,11
B,N,20,11
C,N,25,61
C,R,24,61
B,N,19,11
B,P,20,11
B,N,18,11
B,P,19,11
C,N,24,61
C,R,25,61
B,N,17,11
B,P,18,11
B,N,17,12
B,P,17,11
C,N,23,61
C,R,24,61
B,N,17,13
B,P,17,12
B,N,17,14
B,P,17,13
C,N,24,61
C,R,23,61
B,N,17,15
B,P,17,14
B,N,16,15
B,P,17,15
C,N,25,61
C,R,24,61
B,N,15,15
B,P,16,15
B,N,15,14
B,P,15,15
C,N,24,61
C,R,25,61
B,N,15,13
B,P,15,14
B,R,15,13
B,R,15,14
B,R,15,15
B,R,16,15
B,R,17,15
B,R,17,14
B,R,17,13
B,R,17,12
B,N,16,11
C,N,25,61
C,R,24,61
B,N,15,11
B,P,16,11
B,N,14,11
B,P,15,11
C,N,24,61
C,R,25,61
B,N,13,11
B,P,14,11
B,N,13,12
B,P,13,11
C,N,23,61
C,R,24,61
B,N,13,13
B,P,13,12
B,N,12,13
B,P,13,13
C,N,24,61
C,R,23,61
B,N,11,13
B,P,12,13
B,N,11,14
B,P,11,13
C,N,23,61
C,R,24,61
B,N,11,15
B,P,11,14
B,N,12,15
B,P,11,15
C,N,24,61
C,R,23,61
B,N,13,15
B,P,12,15
B,N,13,16
B,P,13,15
C,N,25,61
C,R,24,61
B,N,13,17
B,P,13,16
B,N,13,18
B,P,13,17
C,N,25,60
C,R,25,61
B,N,13,19
B,P,13,18
B,N,14,19
B,P,13,19
C,N,25,59
C,R,25,60
B,N,15,19
B,P,14,19
B,N,15,20
B,P,15,19
C,N,25,60
C,R,25,59
B,N,15,21
B,P,15,20
B,N,14,21
B,P,15,21
C,N,25,59
C,R,25,60
B,N,13,21
B,P,14,21
B,N,12,21
B,P,13,21
C,N,26,59
C,R,25,59
B,N,11,21
B,P,12,21
B,N,11,22
B,P,11,21
C,N,25,59
C,R,26,59
B,N,11,23
B,P,11,22
B,N,10,23
B,P,11,23
C,N,26,59
C,R,25,59
B,N,9,23
B,P,10,23
B,N,9,22
B,P,9,23
C,N,25,59
C,R,26,59
B,N,9,21
B,P,9,22
B,N,9,20
B,P,9,21
C,N,25,60
C,R,25,59
B,N,9,19
B,P,9,20
B,N,10,19
B,P,9,19
C,N,25,59
C,R,25,60
B,N,11,19
B,P,10,19
B,N,11,18
B,P,11,19
C,N,25,60
C,R,25,59
B,N,11,17
B,P,11,18
B,N,10,17
B,P,11,17
C,N,25,61
C,R,25,60
B,N,9,17
B,P,10,17
B,N,8,17
B,P,9,17
C,N,26,61
C,R,25,61
B,N,7,17
B,P,8,17
B,N,6,17
B,P,7,17
C,N,25,61
C,R,26,61
B,N,5,17
B,P,6,17
B,N,5,18
B,P,5,17
C,N,25,60
C,R,25,61
B,N,5,19
B,P,5,18
B,N,6,19
B,P,5,19
C,N,25,59
C,R,25,60
B,N,7,19
B,P,6,19
B,N,7,20
B,P,7,19
C,N,25,60
C,R,25,59
B,N,7,21
B,P,7,20
B,N,6,21
B,P,7,21
C,N,25,61
C,R,25,60
B,N,5,21
B,P,6,21
B,N,4,21
B,P,5,21
C,N,25,60
C,R,25,61
B,N,3,21
B,P,4,21
B,N,3,22
B,P,3,21
C,N,25,61
C,R,25,60
B,N,3,23
B,P,3,22
B,N,3,24
B,P,3,23
C,N,26,61
C,R,25,61
B,N,3,25
B,P,3,24
B,N,4,25
B,P,3,25
C,N,25,61
C,R,26,61
B,N,5,25
B,P,4,25
B,N,5,26
B,P,5,25
C,N,25,60
C,R,25,61
B,N,5,27
B,P,5,26
B,N,5,28
B,P,5,27
C,N,25,59
C,R,25,60
B,N,5,29
B,P,5,28
B,N,4,29
B,P,5,29
C,N,25,60
C,R,25,59
B,N,3,29
B,P,4,29
B,N,2,29
B,P,3,29
C,N,25,61
C,R,25,60
B,N,1,29
B,P,2,29
B,N,1,30
B,P,1,29
C,N,25,60
C,R,25,61
B,N,1,31
B,P,1,30
B,N,2,31
B,P,1,31
C,N,25,61
C,R,25,60
B,N,3,31
B,P,2,31
B,N,3,32
B,P,3,31
C,N,25,60
C,R,25,61
B,N,3,33
B,P,3,32
B,N,2,33
B,P,3,33
C,N,25,61
C,R,25,60
B,N,1,33
B,P,2,33
B,N,1,34
B,P,1,33
C,N,26,61
C,R,25,61
B,N,1,35
B,P,1,34
B,N,2,35
B,P,1,35
C,N,25,61
C,R,26,61
B,N,3,35
B,P,2,35
B,N,4,35
B,P,3,35
C,N,24,61
C,R,25,61
B,N,5,35
B,P,4,35
B,N,5,36
B,P,5,35
C,N,25,61
C,R,24,61
B,N,5,37
B,P,5,36
B,N,5,38
B,P,5,37
C,N,26,61
C,R,25,61
B,N,5,39
B,P,5,38
B,N,5,40
B,P,5,39
C,N,25,61
C,R,26,61
B,N,5,41
B,P,5,40
B,N,4,41
B,P,5,41
C,N,26,61
C,R,25,61
B,N,3,41
B,P,4,41
B,N,2,41
B,P,3,41
C,N,25,61
C,R,26,61
B,N,1,41
B,P,2,41
B,N,1,42
B,P,1,41
C,N,26,61
C,R,25,61
B,N,1,43
B,P,1,42
B,N,2,43
B,P,1,43
C,N,25,61
C,R,26,61
B,N,3,43
B,P,2,43
B,N,4,43
B,P,3,43
C,N,24,61
C,R,25,61
B,N,5,43
B,P,4,43
B,N,6,43
B,P,5,43
C,N,23,61
C,R,24,61
B,N,7,43
B,P,6,43
B,N,7,42
B,P,7,43
C,N,24,61
C,R,23,61
B,N,7,41
B,P,7,42
B,N,8,41
B,P,7,41
C,N,23,61
C,R,24,61
B,N,9,41
B,P,8,41
B,N,9,42
B,P,9,41
C,N,24,61
C,R,23,61
B,N,9,43
B,P,9,42
B,N,9,44
B,P,9,43
C,N,25,61
C,R,24,61
B,N,9,45
B,P,9,44
B,N,10,45
B,P,9,45
C,N,24,61
C,R,25,61
B,N,11,45
B,P,10,45
B,N,11,46
B,P,11,45
C,N,23,61
C,R,24,61
B,N,11,47
B,P,11,46
B,N,10,47
B,P,11,47
C,N,24,61
C,R,23,61
B,N,9,47
B,P,10,47
B,N,8,47
B,P,9,47
C,N,25,61
C,R,24,61
B,N,7,47
B,P,8,47
B,N,7,46
B,P,7,47
C,N,26,61
C,R,25,61
B,N,7,45
B,P,7,46
B,R,7,45
B,R,7,46
B,R,7,47
B,R,8,47
B,R,9,47
B,R,10,47
B,R,11,47
B,R,11,46
B,R,11,45
B,R,10,45
B,R,9,45
B,R,9,44
B,R,9,43
B,R,9,42
B,R,9,41
B,R,8,41
B,N,7,40
C,N,25,61
C,R,26,61
B,N,7,39
B,P,7,40
B,N,8,39
B,P,7,39
C,N,25,60
C,R,25,61
B,N,9,39
B,P,8,39
B,N,9,38
B,P,9,39
C,N,25,61
C,R,25,60
B,N,9,37
B,P,9,38
B,N,8,37
B,P,9,37
C,N,24,61
C,R,25,61
B,N,7,37
B,P,8,37
B,N,7,36
B,P,7,37
C,N,23,61
C,R,24,61
B,N,7,35
B,P,7,36
B,R,7,35
B,R,7,36
B,R,7,37
B,R,8,37
B,R,9,37
B,R,9,38
B,R,9,39
B,R,8,39
B,R,7,39
B,R,7,40
B,R,7,41
B,R,7,42
B,R,7,43
B,R,6,43
B,R,5,43
B,R,4,43
B,N,3,44
C,N,24,61
C,R,23,61
B,N,3,45
B,P,3,44
B,N,4,45
B,P,3,45
C,N,23,61
C,R,24,61
B,N,5,45
B,P,4,45
B,N,5,46
B,P,5,45
C,N,24,61
C,R,23,61
B,N,5,47
B,P,5,46
B,N,5,48
B,P,5,47
C,N,25,61
C,R,24,61
B,N,5,49
B,P,5,48
B,N,5,50
B,P,5,49
C,N,25,60
C,R,25,61
B,N,5,51
B,P,5,50
B,N,4,51
B,P,5,51
C,N,25,59
C,R,25,60
B,N,3,51
B,P,4,51
B,N,2,51
B,P,3,51
C,N,25,60
C,R,25,59
B,N,1,51
B,P,2,51
B,N,1,52
B,P,1,51
C,N,25,61
C,R,25,60
B,N,1,53
B,P,1,52
B,N,1,54
B,P,1,53
C,N,24,61
C,R,25,61
B,N,1,55
B,P,1,54
B,N,1,56
B,P,1,55
C,N,23,61
C,R,24,61
B,N,1,57
B,P,1,56
B,N,2,57
B,P,1,57
C,N,24,61
C,R,23,61
B,N,3,57
B,P,2,57
B,N,3,58
B,P,3,57
C,N,25,61
C,R,24,61
B,N,3,59
B,P,3,58
B,N,4,59
B,P,3,59
C,N,26,61
C,R,25,61
B,N,5,59
B,P,4,59
B,N,6,59
B,P,5,59
C,N,25,61
C,R,26,61
B,N,7,59
B,P,6,59
B,N,7,58
B,P,7,59
C,N,25,60
C,R,25,61
B,N,7,57
B,P,7,58
B,N,6,57
B,P,7,57
C,N,25,61
C,R,25,60
B,N,5,57
B,P,6,57
B,N,5,56
B,P,5,57
C,N,24,61
C,R,25,61
B,N,5,55
B,P,5,56
B,N,6,55
B,P,5,55
C,N,25,61
C,R,24,61
B,N,7,55
B,P,6,55
B,N,8,55
B,P,7,55
C,N,26,61
C,R,25,61
B,N,9,55
B,P,8,55
B,N,9,54
B,P,9,55
C,N,25,61
C,R,26,61
B,N,9,53
B,P,9,54
B,N,9,52
B,P,9,53
C,N,25,60
C,R,25,61
B,N,9,51
B,P,9,52
B,N,9,50
B,P,9,51
C,N,25,61
C,R,25,60
B,N,9,49
B,P,9,50
B,N,8,49
B,P,9,49
C,N,24,61
C,R,25,61
B,N,7,49
B,P,8,49
B,N,7,50
B,P,7,49
C,N,23,61
C,R,24,61
B,N,7,51
B,P,7,50
